# This file was automatically generated by http://masterlens.astro.utah.edu/ and should not be edited by hand.
# "system_name", "discovery_date", "ra_hrs", "ra_mins", "ra_secs", "ra_coord", "dec_degrees", "dec_arcmin", "dec_arcsec", "dec_coord", "lensgrade", "number_images", "theta_e", "theta_e_err", "z_lens", "z_lens_err", "z_source", "z_source_err", "vdisp", "vdisp_err"
"SDSS J0008-0004", "2008-08-01", "00", "08", "2.96", 2.01231, "-00", "04", "8.26", -0.06896, "A", 0, 1.16, 0.02, 0.4400, 0.0001, 1.192, NaN, 232, 39
"ACS J001426.26-302255.9", "2012-06-15", "00", "14", "26.26", 3.609417, "-30", "22", "55.9", -30.382194, "A", 1, 1.00, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"MACS J0018.5+1626", "2010-06-01", "0", "18", "33.6", 4.640006777, "+16", "26", "16.29", +16.4378587777, "A", 0, 24, 2, 0.545, NaN, NaN, NaN, NaN, NaN
"CSWA 21", "2007-06-00", "00", "22", "40.92", 5.67049154, "+14", "31", "10.43", 14.51956525, "A", 0, 2.91, 0.14, 0.38, NaN, 2.73, NaN, NaN, NaN
"MACS J002523.4-121942", "2008-11-01", "00", "25", "23.4", 6.3479305559, "-12", "19", "42", -12.3286802225, "A", 2, NaN, NaN, 0.582, NaN, 2.047, NaN, NaN, NaN
"MACS J0025.4-1222", "2008-11-01", "00", "25", "29.381", 6.372421, "-12", "22", "37.06", -12.376961, "A", 0, 30, 2, 0.584, NaN, NaN, NaN, 740, 100
"CL0024+1654", "1995-12-01", "00", "26", "35", 6.645833, "+17", "09", "43", +17.161944, "A", 0, NaN, NaN, 0.39, NaN, NaN, NaN, NaN, NaN
"SDSS J0029-0055", "2008-08-01", "00", "29", "7.78", 7.28240, "-00", "55", "50.56", -0.93071, "A", 0, 0.96, 0.02, 0.22704, 0.00005, 0.9313, NaN, 202, 18
"Abell 68", "2007-06-01", "00", "37", "06.475", 9.271704, "+09", "09", "32.28", 9.163992, "A", 8, 7.5, 0.5, 0.2546, NaN, 1.265, .001, NaN, NaN
"SDSS J0037-0942", "", "00", "37", "53.21", 9.4705016657, "-09", "42", "20.12", -9.7045899992, "A", 0, NaN, NaN, 0.19545, 0.00003, 0.632, NaN, 274, 10
"SDSS J0044+0113", "", "0", "44", "2.9", 11.01208, "+01", "13", "12.65", +1.22018, "A", 0, NaN, NaN, 0.11958, 0.00003, 0.197, NaN, 254, 12
"Q0047-2808", "1996-01-01", "00", "49", "41.96", 12.4247466667, "-27", "52", "25.000", -27.874019722, "A", 4, 1.34, 0.01, 0.485, NaN, 3.595, NaN, 219, 12
"HE0047-1756", "2004-05-01", "00", "50", "27.72", 12.6155, "-17", "40", "08", -17.66889, "A", 2, 0.75, NaN, 0.407, NaN, 1.66, NaN, NaN, NaN
"SPT0103-45", "2013-03-21", "01", "03", "11.50", 15.797917, "-45", "38", "53.90", -44.351694, "A", 0, NaN, NaN, NaN, NaN, 3.0917, NaN, NaN, NaN
"SDSS J0109+1500", "", "01", "09", "33.73", 17.39054, "+15", "0", "32.51", +15.00903, "A", 0, NaN, NaN, 0.29388, 0.00006, 0.525, NaN, 243, 18
"ACS J011018.22+193819.5", "2012-06-15", "01", "10", "18.22", 17.575917, "+19", "38", "19.5", +19.63875, "A", 1, 3.10, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SPT0113-46", "2013-03-21", "01", "13", "9.01", 18.287542, "-46", "17", "56.30", -45.701028, "A", 0, NaN, NaN, NaN, NaN, 4.2328, NaN, NaN, NaN
"SPT0125-47", "2013-03-21", "01", "25", "7.08", 21.279500, "-47", "23", "56.00", -46.601111, "A", 0, NaN, NaN, NaN, NaN, 2.5148, NaN, NaN, NaN
"SPT0125-50", "2013-03-21", "01", "25", "48.45", 21.451875, "-50", "38", "20.90", -49.360861, "A", 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"B0128+437", "2000-12-01", "01", "31", "13", 22.80417, "+43", "58", "13.14", +43.97032, "A", 4, 0.235, NaN, NaN, NaN, 3.124, NaN, NaN, NaN
"PMN J0134-0931", "2002-01-01", "01", "34", "35", 23.64583, "-09", "31", "02.000", -9.51722, "A", 5, NaN, NaN, 0.77, NaN, 2.216, NaN, NaN, NaN
"Q0142-100", "1987-10-01", "01", "45", "16.72", 26.31967, "-09", "45", "20.59", -9.75572, "A", 2, 1.12, NaN, 0.49, NaN, 2.72, NaN, NaN, NaN
"CSWA 22", "2007-05-01", "01", "46", "56.01", 26.73337065, "-09", "29", "52.49", -9.49791496, "A", 0, NaN, NaN, 0.44, NaN, 1.944, NaN, NaN, NaN
"SDSS J0151+0049", "2011-12-15", "01", "51", "7.37", 27.78072, "+00", "49", "8.98", +0.81916, "A", 2, 0.676, NaN, 0.5171, 0.0002, 1.364, NaN, 219, 39
"SDSS J0157-0056", "", "01", "57", "58.94", 29.49557, "-00", "56", "26.09", -0.94058, "A", 0, NaN, NaN, 0.513, NaN, 0.924, NaN, NaN, NaN
"QJ0158-4325", "1999-10-01", "01", "58", "41.43", 29.6726246, "-43", "25", "3.5", -43.4176407, "A", 2, 0.66, NaN, 0.317, NaN, 1.29, NaN, NaN, NaN
"SL2S J020210-110912", "2011-09-08", "02", "02", "10.50", 30.543750, "-11", "09", "11.68", -11.1532440, "A", 0, 5.0, NaN, 0.48, 0.02, NaN, NaN, NaN, NaN
"SL2S J020817-093653", "2011-09-08", "02", "08", "16.87", 32.070293, "-09", "36", "52.69", -9.6146364, "A", 0, 3.4, NaN, 0.74, 0.03, NaN, NaN, NaN, NaN
"SL2S J020929-064311", "2011-09-08", "02", "09", "29.33", 32.372207, "-06", "43", "11.26", -6.7197942, "A", 0, 3.2, NaN, 0.45, 0.02, NaN, NaN, NaN, NaN
"SL2SJ021247-055552", "2013-07-01", "02", "12", "47.83", 33.199292, "-05", "55", "52.2", -5.931167, "A", 0, 1.27, 0.04, 0.750, 0.001, 2.74, 0.01, 267, 17
"SL2S J021325-074355", "2011-09-08", "02", "13", "24.52", 33.352165, "-07", "43", "54.82", -7.7318944, "A", 0, 2.39, 0.07, 0.717, 0.001, 3.48, 0.01, 287, 33
"SL2S J021408-053532", "2006-06-12", "02", "14", "8.07", 33.533626, "-05", "35", "32.39", -5.5923304, "A", 0, 7.1, NaN, 0.48, 0.02, NaN, NaN, NaN, NaN
"SL2S J021411-040502", "2010-08-18", "02", "14", "11.21", 33.5467033, "-04", "05", "2.78", -4.0841055, "A", 0, 1.41, 0.04, 0.609, 0.001, 1.880, 0.001, 289, 16
"SL2S J021649-070324", "2011-09-08", "02", "16", "49.25", 34.205207, "-07", "03", "23.80", -7.0566110, "A", 0, 5.6, NaN, 0.45, 0.02, NaN, NaN, NaN, NaN
"SDSS J0216-0813", "", "02", "16", "52.54", 34.21893, "-08", "13", "45.37", -8.22927, "A", 0, NaN, NaN, 0.33165, 0.00007, 0.523, NaN, 332, 24
"SL2S J021737-051329", "2009-02-27", "02", "17", "37.18", 34.4049225, "-05", "13", "29.36", -5.2248211, "A", 0, 1.27, 0.06, 0.646, 0.001, 1.847, 0.001, 257, 26
"SL2S J021807-051536", "2011-09-08", "02", "18", "7.29", 34.530376, "-05", "15", "36.16", -5.2600445, "A", 0, 2.4, NaN, 0.42, 0.03, NaN, NaN, NaN, NaN
"SL2S J021902-082934", "2010-08-18", "02", "19", "2.15", 34.7589417, "-08", "29", "34.77", -8.4929924, "A", 0, 1.30, 0.04, 0.3898, 0.001, 2.15, 0.01, 300, 23
"B0218+357", "1993-08-01", "02", "21", "05", 35.27083, "+35", "56", "13.78", +35.93716, "A", 2, 0.34, NaN, 0.68, NaN, 0.96, NaN, NaN, NaN
"SL2S J022151-064733", "2011-09-08", "02", "21", "51.18", 35.463249, "-06", "47", "32.66", -6.7924056, "A", 0, 5.2, NaN, 0.72, 0.03, NaN, NaN, NaN, NaN
"SL2SJ022357-065142", "2013-07-01", "02", "23", "57.94", 35.991417, "-06", "51", "42.6", -6.861833, "A", 0, 1.36, 0.04, 0.473, NaN, NaN, NaN, NaN, NaN
"SL2S J022511-045433", "2010-08-18", "02", "25", "11.04", 36.296005, "-04", "54", "33.48", -4.9092998, "A", 0, 1.77, 0.09, 0.2380, 0.001, 1.199, 0.001, 241, 12
"SL2S J022546-073739", "2011-09-08", "02", "25", "46.13", 36.442207, "-07", "37", "38.52", -7.6273665, "A", 0, 5.8, NaN, 0.511, 0.001, NaN, NaN, NaN, NaN
"SL2S J022610-042011", "2010-08-18", "02", "26", "10.67", 36.54445, "-04", "20", "11.59", -4.3365526, "A", 0, 1.19, 0.04, 0.4943, 0.001, 1.232, 0.001, 266, 21
"SL2S J022648-040610", "2010-08-18", "02", "26", "48.37", 36.701555, "-04", "06", "10.28", -4.1028567, "A", 0, 1.29, 0.04, 0.7663, 0.001, NaN, NaN, NaN, NaN
"SL2S J022648-090421", "2010-08-18", "02", "26", "48.56", 36.702329, "-09", "04", "21.28", -9.0725791, "A", 0, 1.56, 0.04, 0.4563, 0.001, NaN, NaN, 301, 18
"HE0230-2130", "1999-08-01", "02", "32", "33.72", 38.1405, "-21", "17", "26.000", -21.29056, "A", 4, 1.02, NaN, 0.526, NaN, 2.162, NaN, NaN, NaN
"SL2S J023251-040823", "2010-08-18", "02", "32", "51.57", 38.21486, "-04", "08", "23.79", -4.139942, "A", 0, 1.04, 0.03, 0.352, 0.001, 2.344, 0.001, 264, 17
"Abell 370", "1988-02-01", "02", "39", "53.169", 39.971538, "-01", "34", "36.96", -1.576933, "A", 9, 39, 2, 0.3747, .001, .725, .001, 1367, 310
"SPT0243-49", "2013-03-21", "02", "43", "8.81", 40.786708, "-49", "15", "35.00", -48.740278, "A", 0, NaN, NaN, NaN, NaN, 5.699, NaN, NaN, NaN
"SDSS J0246-0825", "2005-11-01", "02", "46", "34.09", 41.64207561, "-08", "25", "36.1", -8.42670704, "A", 2, 0.525, NaN, 0.723, NaN, 1.6859, 0.0001, NaN, NaN
"SDSS J0252+0039", "", "02", "52", "45.21", 43.18838, "+00", "39", "58.36", +0.66621, "A", 0, NaN, NaN, 0.28030, 0.00004, 0.982, NaN, 172, 11
"MACS J0257.1-2325", "2010-06-01", "02", "57", "09.151", 44.288129, "-23", "26", "05.83", -23.434953, "A", 0, 39, 2, 0.505, NaN, NaN, NaN, 920, 250
"SPT0300-46", "2013-03-21", "03", "00", "4.37", 45.018208, "-46", "21", "24.30", -45.643250, "A", 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"CFRS03.1077", "2002-05-01", "03", "02", "30", 45.6268472237, "+00", "06", "02.1", 0.1019550011, "A", 2, 1.05, NaN, 0.938, NaN, 2.941, NaN, NaN, NaN
"SDSS J0330-0020", "", "03", "30", "12.12", 52.55052, "-00", "20", "51.9", -0.34775, "A", 0, NaN, NaN, 0.35071, 0.00008, 1.071, NaN, 242, 30
"WFC3 J033227.44-275520.42", "2012-06-15", "03", "32", "27.44", 53.114333, "-27", "55", "20.42", -27.922339, "A", 1, 1.83, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"J033238-275653", "2003-12-19", "03", "32", "38.21", 53.159208, "-27", "56", "53.2", -27.948111, "A", 2, 1.2, NaN, 0.6174, 0.0003, 2.4, 0.3, NaN, NaN
"WFC3 J033245.17-274940.46", "2012-06-15", "03", "32", "45.17", 53.188208, "-27", "49", "40.46", -27.827906, "A", 1, 1.71, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SPT0345-47", "2013-03-21", "03", "45", "10.77", 56.294875, "-47", "25", "39.50", -46.572361, "A", 0, NaN, NaN, NaN, NaN, 4.2958, NaN, NaN, NaN
"SPT0346-52", "2013-03-21", "03", "46", "41.13", 56.671375, "-52", "05", "2.10", -51.916083, "A", 2, 1.124, 0.004, NaN, NaN, 5.6559, NaN, NaN, NaN
"SDSS J0405-0455", "", "04", "05", "35.41", 61.39756, "-04", "55", "52.39", -4.93122, "A", 0, NaN, NaN, 0.07527, 0.00002, 0.81, NaN, 169, 7
"MG0414+0534", "1989-01-01", "04", "14", "37", 63.65417, "+05", "34", "44.3", +5.57897, "A", 4, 1.1, NaN, 0.96, NaN, 2.64, NaN, NaN, NaN
"SPT0418-47", "2013-03-21", "04", "18", "39.67", 64.665292, "-47", "51", "52.70", -46.135361, "A", 2, 1.39, 0.012, NaN, NaN, 4.2248, NaN, NaN, NaN
"HE0435-1223", "2002-07-01", "04", "38", "14.76", 69.5615, "-12", "17", "14.000", -12.28722, "A", 4, 1.21, NaN, 0.454, NaN, 1.689, NaN, NaN, NaN
"SPT0441-47", "2013-03-21", "04", "41", "44.08", 70.433667, "-46", "05", "25.50", -45.909583, "A", 0, NaN, NaN, NaN, NaN, 4.4771, NaN, NaN, NaN
"SPT0452-50", "2013-03-21", "04", "52", "45.83", 73.190958, "-50", "18", "42.20", -49.688278, "A", 0, NaN, NaN, NaN, NaN, 2.0104, NaN, NaN, NaN
"MACS J0454.1-0300", "2005-02-01", "04", "54", "11.125", 73.546354, "-03", "00", "53.77", -3.014936, "A", 0, 13, 2, 0.538, NaN, NaN, NaN, 1250, 180
"SPT0459-58", "2013-03-21", "04", "58", "59.80", 74.749167, "-58", "05", "14.00", -57.912778, "A", 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SPT0459-59", "2013-03-21", "04", "59", "12.34", 74.801417, "-59", "42", "20.20", -58.294389, "A", 0, NaN, NaN, NaN, NaN, 4.7993, NaN, NaN, NaN
"SPT0512-59", "2013-03-21", "05", "12", "57.98", 78.241583, "-59", "35", "41.90", -58.405028, "A", 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"HE0512-3329", "2003-07-01", "05", "14", "10", 78.5450380534, "-33", "26", "22.000", -33.439266389, "A", 2, 0.32, NaN, 0.93, NaN, 1.57, NaN, NaN, NaN
"SPT0529-54", "2013-03-21", "05", "29", "3.09", 82.262875, "-54", "36", "40.00", -53.388889, "A", 2, 1.536, 0.017, NaN, NaN, 3.3689, NaN, NaN, NaN
"SPT0532-50", "2013-03-21", "05", "32", "51.04", 83.212667, "-50", "47", "7.50", -49.214583, "A", 0, NaN, NaN, NaN, NaN, 3.3988, NaN, NaN, NaN
"SPT0538-50", "2013-03-21", "05", "38", "16.80", 84.570000, "-50", "30", "52.00", -49.485556, "A", 3, 1.987, 0.009, 0.404, NaN, 2.782, NaN, NaN, NaN
"SPT0550-53", "2013-03-21", "05", "50", "0.56", 87.502333, "-53", "56", "41.70", -52.055083, "A", 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SPT0551-50", "2013-03-21", "05", "51", "39.42", 87.914250, "-50", "58", "2.10", -49.032750, "A", 0, NaN, NaN, NaN, NaN, 2.1232, NaN, NaN, NaN
"B0631+519", "2005-07-01", "06", "35", "12", 98.8, "+51", "57", "01.8", 51.9505, "A", 2, 0.58, NaN, 0.6196, NaN, NaN, NaN, NaN, NaN
"MACS J0647.7+7015", "2010-06-01", "06", "47", "50.469", 101.960288, "+70", "14", "54.95", 70.248597, "A", 0, 28, 2, 0.591, NaN, NaN, NaN, 900, 180
"1E 0657-56", "1995-05-01", "06", "58", "37.9", 104.65792, "-55", "57", "00.00", -55.95, "A", 0, 35, NaN, 0.296, NaN, 3.24, NaN, NaN, NaN
"B0712+472", "1998-02-01", "07", "16", "03", 109.014277779, "+47", "08", "50.0", 47.1471088888, "A", 4, 0.73, NaN, 0.41, NaN, 1.34, NaN, NaN, NaN
"MACS J0717.5+3745", "2009-07-01", "07", "17", "30.927", 109.378863, "+37", "45", "29.74", +37.758261, "A", 0, 55, 5, 0.546, NaN, 2.963, NaN, NaN, NaN
"SDSS J0728+3835", "2009-11-01", "07", "28", "04", 112.019781114, "+38", "35", "25.000", 38.5904744446, "A", 0, NaN, NaN, 0.206, NaN, 0.688, NaN, NaN, NaN
"SDSS J0737+3216", "", "07", "37", "28.45", 114.36855, "+32", "16", "18.59", +32.27183, "A", 0, NaN, NaN, 0.32234, 0.00004, 0.581, NaN, 301, 16
"HST J073736.40+321540.3", "2009-05-01", "07", "37", "36.40", 114.401667, "+32", "15", "40.3", +32.261194, "A", 4, 0.65, 0.03, 0.34, 0.03, 0.48, 0.03, NaN, NaN
"B0739+366", "2001-02-01", "07", "42", "51", 115.7125, "+36", "34", "43.7", +36.57881, "A", 2, 0.27, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J0743+2457", "2012-01-01", "07", "43", "52.61", 115.96924486, "+24", "57", "43.6", 24.96212419, "A", 2, 0.52, NaN, 0.381, NaN, 2.165, 0.002, NaN, NaN
"MACS J0744.8+3927", "2010-06-01", "07", "44", "52.470", 116.219618058, "+39", "27", "27.34", 39.4573953884, "A", 0, 31, 2, 0.698, NaN, NaN, NaN, 1110, 150
"SDSS J0746+4403", "2007-01-01", "07", "46", "53.04", 116.72101467, "+44", "03", "51.3", +44.06427463, "A", 2, 0.55, 0.01, 0.513, NaN, 2.0024, 0.0005, NaN, NaN
"SDSS J0747+5055", "2011-12-15", "07", "47", "24.12", 116.85052, "+50", "55", "37.49", +50.92708, "A", 2, 0.754, NaN, 0.4384, 0.0002, 0.898, NaN, 328, 60
"SDSS J0747+4448", "2011-12-15", "07", "47", "34.75", 116.89480, "+44", "48", "59.33", +44.81648, "A", 4, 0.610, NaN, 0.4366, 0.0001, 0.897, NaN, 281, 52
"MG0751+2716", "1993-12-01", "07", "51", "41", 117.92083, "+27", "16", "31.35", +27.27538, "A", 1, 0.35, NaN, 0.35, NaN, 3.2, NaN, NaN, NaN
"SDSS J0801+4727", "2011-12-15", "08", "01", "5.3", 120.27208, "+47", "27", "49.54", +47.46376, "A", 2, 0.491, NaN, 0.4831, 0.0001, 1.518, NaN, 98, 24
"SDSS J0806+2006", "2006-04-01", "08", "06", "23.70", 121.59877069, "+20", "06", "31.9", +20.10884795, "A", 2, 0.76, NaN, 0.573, NaN, 1.5373, 0.0003, NaN, NaN
"SDSS J0808+4706", "", "08", "08", "58.78", 122.24493, "+47", "06", "38.84", +47.11079, "A", 0, NaN, NaN, 0.21946, 0.00003, 1.025, NaN, 227, 11
"HS0810+2554", "2002-01-01", "08", "13", "31.25", 123.3802, "+25", "45", "3.24", +25.7509, "A", 4, 0.48, NaN, 0.1, NaN, 1.5, NaN, NaN, NaN
"SDSS J0819+4534", "", "08", "19", "31.93", 124.88305, "+45", "34", "44.83", +45.57912, "A", 0, NaN, NaN, 0.19432, 0.00005, 0.446, NaN, 206, 14
"SDSS J0819+5356", "2009-05-01", "08", "19", "59.80", 124.99920094, "+53", "56", "24.2", +53.94005893, "A", 2, 2.057, NaN, 0.29364, 0.00005, 2.239, 0.002, 274, 16
"SDSS J0820+4847", "2011-04-29", "08", "20", "12.86", 125.05358, "+48", "47", "37.07", +48.79363, "A", 4, NaN, NaN, 0.13091, 0.00003, 0.634, NaN, 171, 9
"ULAS J0820+0812", "2009-09-01", "08", "20", "16.11", 125.06712988, "+08", "12", "15.9", 8.20443831, "A", 2, 1.15, NaN, 0.803, NaN, 2.0226, 0.0003, NaN, NaN
"HS0818+1227", "2011-09-01", "08", "21", "39", 125.4125, "+12", "17", "29", +12.29139, "A", 2, 2.83, NaN, 0.39, NaN, 3.115, NaN, NaN, NaN
"SDSS J0822+1828", "2012-06-01", "08", "22", "27.47", 125.614474, "+18", "28", "55.83", +18.482175, "A", 0, 0.83, 0.03, 0.1153, NaN, 0.8710, NaN, NaN, NaN
"SDSS J0822+2652", "", "08", "22", "42.32", 125.67633, "+26", "52", "43.54", +26.87876, "A", 0, NaN, NaN, 0.24132, 0.00004, 0.594, NaN, 255, 15
"SDSS J0827+5224", "2012-04-01", "08", "27", "25.20", 126.855, "+52", "24", "35.1", +52.40975, "A", 0, 0.31, NaN, 0.293, NaN, 0.412, NaN, NaN, NaN
"SDSS J0830+5116", "2011-12-15", "08", "30", "49.73", 127.70722, "+51", "16", "31.84", +51.27551, "A", 2, 1.142, NaN, 0.5301, 0.0001, 1.332, NaN, 268, 36
"APM08279+5255", "1998-10-01", "08", "31", "41", 127.92083, "+52", "45", "17.0", +52.75472, "A", 3, 0.38, NaN, NaN, NaN, 3.87, NaN, NaN, NaN
"SDSS J0832+0404", "2008-02-01", "08", "32", "16.99", 128.06667, "+04", "04", "05.2", 4.06811, "A", 2, 0.95, NaN, 0.659, 0.001, 1.115, 0.003, NaN, NaN
"SDSS J0841+3824", "", "08", "41", "28.8", 130.37002, "+38", "24", "13.72", +38.40381, "A", 0, NaN, NaN, 0.11588, 0.00002, 0.657, NaN, 220, 8
"MM18423+5938", "2011-06-07", "08", "42", "22.27", 130.5927887, "+59", "38", "29.60", 59.641556, "A", 0, 0.65, 0.10, 1.1, 0.1, 3.92960, 0.00013, NaN, NaN
"ACS J084710.65+344826.4", "2012-06-15", "08", "47", "10.65", 131.794375, "+34", "48", "26.4", +34.807333, "A", 1, 1.98, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SL2SJ084847-035103", "", "08", "48", "47.24", 132.196833, "-03", "51", "03.7", -3.851028, "A", 0, 0.85, 0.07, 0.682, 0.001, 1.55, 0.01, NaN, NaN
"SL2SJ084909-041226", "", "08", "49", "09.51", 132.289625, "-04", "12", "26.7", -4.207417, "A", 0, 1.10, 0.03, 0.722, 0.001, 1.54, NaN, NaN, NaN
"SL2SJ084959-025142", "", "08", "49", "59.75", 132.498958, "-02", "51", "42.8", -2.861889, "A", 0, 1.16, 0.04, 0.274, 0.001, 2.09, 0.01, NaN, NaN
"SL2SJ085019-034710", "", "08", "50", "19.07", 132.579458, "-03", "47", "10.7", -3.786306, "A", 0, 0.93, 0.03, 0.337, 0.001, 3.25, NaN, NaN, NaN
"SDSS J0851+3331", "2012-03-01", "08", "51", "38.86", 132.911917, "+33", "31", "06.1", +33.518361, "A", 0, 21.6, NaN, 0.370, NaN, 1.693, NaN, NaN, NaN
"B0850+054", "2003-02-01", "08", "52", "53.83", 133.224274447, "+05", "15", "11.9", 5.2533055548, "A", 2, 0.34, NaN, 0.5883, 0.0006, NaN, NaN, NaN, NaN
"SL2SJ085327-023745", "2013-07-01", "08", "53", "27.72", 133.3655, "-02", "37", "45.2", -2.629222, "A", 0, 1.31, 0.04, 0.774, 0.001, 2.44, 0.01, NaN, NaN
"SL2S J085447-012137", "2011-09-08", "08", "54", "46.55", 133.693954, "-01", "21", "37.08", -1.3602999, "A", 0, 5.22, 0.10, 0.351, 0.001, 1.268, 0.001, NaN, NaN
"SL2SJ085540-014730", "2013-07-01", "08", "55", "40.11", 133.917125, "-01", "47", "30.3", -1.79175, "A", 0, 1.03, 0.04, 0.365, 0.001, 3.39, 0.01, NaN, NaN
