,,,,,,,was right?,,,,,,,,,error type,,,,,,,,,,,,,,,
,,,,,nPntsOrg,,nPnts,approx right place,approx right,very right,,rightPlace,rightType,rightOrder,,arc inacc,Min-sad in 3img confised,3instead5,arc not expanded,2sad exchanged (180),2*(sad inst min) wrong (90),missed faint img,3 (min-sad-min) instead 1 min,missed double pnt,too many imgs,,,all,toBeUsed,Fav capella05,Fav Budgieye
ASW0003ctp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6904,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,1
,6905,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6906,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,1,
,6907,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6908,4,Capella05,,4,,x,1,1,0,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6909,4,ElisabethB,,4,,x,1,1,0,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,
ASW0002b6m,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6910,2,Jonas,,4,,o,0,0,0,, 3/5, 3/5,0    ,,,,x,,,,x,,x,,,,1,1,1,1
,6911,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,,,,,,,,,x,,,,1,1,,
,6912,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,,,,,,,,,x,,,,1,1,,
ASW0001hpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6913,4,Jonas,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,x,,,,,,,,1,1,,
,6914,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6915,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6916,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6917,4,c_cld,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6918,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW0002z6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6919,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6920,4,Capella05,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6921,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6922,4,ElisabethB,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6923,4,ElisabethB,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6924,4,ElisabethB,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,x,,,,,,,,1,1,,
,6925,4,ElisabethB,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,,x,,,,,,,1,1,,1
,6926,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW00023pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6927,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,1
,6928,4,Capella05,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6929,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6930,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,1,
ASW0000vqg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6931,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6932,2,psaha,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6933,2,psaha,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6934,2,ElisabethB,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6935,4,Budgieye,,2,,o,1,0,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,1,
,6936,4,Budgieye,,2,,o,1,0,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,1,
,6937,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6938,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW000102p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6939,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6940,2,Capella05,,2,,x,1,0,0,,1    , 1/3,0    ,,,x,,,,,,,,,,,1,1,,
